halo_id,halo_mass,sum(stellar_mass),halo_mass+sum(stellar_mass)
761600185338,17724071739392.00,426444718080.0,18150517112832.0
148600028421,107550578049024.00,1339099054080.0,108889676709888.0
457600100338,18379836489728.00,265559818240.0,18645396750336.0
563500064338,18585414008832.00,255564972032.0,18840979243008.0
1024900193347,10908384362496.00,190297636864.0,11098682032128.0
449100032347,29384715010048.00,302320451584.0,29687036248064.0
312800188392,145092081876992.00,1110976102400.0,146203052343296.0
139600193365,21489514446848.00,308721844224.0,21798236192768.0
278300047347,15847856799744.00,171272732672.0,16019129106432.0
14500176411,21796579442688.00,105857490944.0,21902437384192.0
316700053355,15553803583488.00,39940411392.0,15593743843328.0
378000060365,28741960990720.00,272304979968.0,29014265692160.0
12600065401,19935977799680.00,365537984512.0,20301515587584.0
585300072365,11085387137024.00,151934402560.0,11237321605120.0
66800029401,38383262892032.00,741648498688.0,39124912308224.0
47200107338,17011058933760.00,386281897984.0,17397340700672.0
812600068338,15251943718912.00,46096429056.0,15298040168448.0
641500111338,29127092469760.00,325952339968.0,29453044416512.0
262500043365,12706952249344.00,182676176896.0,12889628868608.0
535500052355,19436348112896.00,160245514240.0,19596593594368.0
137200178365,12798031560704.00,233999155200.0,13032030732288.0
5600048373,18452699938816.00,331799789568.0,18784498745344.0
840000137338,125849563037696.00,1422501347328.0,127272061239296.0
81000045373,22056804548608.00,129749450752.0,22186553245696.0
777900048347,48542412439552.00,360351367168.0,48902761873408.0
290100056382,31401451716608.00,236799524864.0,31638251634688.0
548500082338,9966106705920.00,142088781824.0,10108195045376.0
183500082347,13461602959360.00,400376332288.0,13861979684864.0
226200059338,10713161531392.00,103718748160.0,10816880377856.0
196400189331,32908148473856.00,444615098368.0,33352763572224.0
311500098355,16662358130688.00,323502211072.0,16985860603904.0
219000130365,10590821023744.00,110535049216.0,10701355614208.0
383800191365,13175356391424.00,163893002240.0,13339249868800.0
406800167355,24734509039616.00,435932659712.0,25170441928704.0
106600143331,11527893549056.00,453345017856.0,11981239091200.0
400100048382,12215079927808.00,17355958272.0,12232435957760.0
5000188442,10096254910464.00,59710832640.0,10155966070784.0
346100155355,38344230699008.00,397659799552.0,38741888466944.0
33400020442,17237453832192.00,342535110656.0,17579989008384.0
71100060421,35427117432832.00,225963933696.0,35653081366528.0
297400181401,11767368384512.00,78523195392.0,11845892046848.0
575300143365,26824109195264.00,264542863360.0,27088652337152.0
62100170421,30558325309440.00,445313089536.0,31003638759424.0
187300155401,32333052772352.00,649284157440.0,32982337323008.0
181300021401,33902204813312.00,334341242880.0,34236545368064.0
255400021373,13883165114368.00,128199221248.0,14011364016128.0
503600142355,12548215668736.00,302638858240.0,12850854625280.0
69000096453,15816630206464.00,249702350848.0,16066332852224.0
334900100338,26631544504320.00,434506727424.0,27066051330048.0
2000171442,37758726832128.00,650657071104.0,38409385017344.0
9400168411,17289498853376.00,185301860352.0,17474801106944.0
220200171338,37339766194176.00,308287963136.0,37648055926784.0
1126100168338,21890259222528.00,226811641856.0,22117070405632.0
196300098355,11514878623744.00,56627658752.0,11571505922048.0
125500021392,12108357959680.00,90267066368.0,12198624624640.0
399200177373,12772009050112.00,129735565312.0,12901744115712.0
108500192401,15290978009088.00,271871852544.0,15562849648640.0
272900180401,11874090352640.00,133164777472.0,12007255310336.0
384000023338,12092740468736.00,116679499776.0,12209419714560.0
64900096453,11155667943424.00,281153536000.0,11436821577728.0
250900085392,16789868118016.00,197697044480.0,16987565588480.0
718100099382,11790794620928.00,108785770496.0,11899580186624.0
305600185365,10106667270144.00,79749160960.0,10186416717824.0
330100084373,36340502626304.00,719820881920.0,37060324884480.0
611700055338,13419966103552.00,238353530880.0,13658320011264.0
208800057373,10153520791552.00,141442662400.0,10294963208192.0
794300111365,9997341687808.00,287273582592.0,10284614811648.0
800300178338,21281336459264.00,280150016000.0,21561486606336.0
218400129392,11616395460608.00,189835591680.0,11806230708224.0
149800116401,18887273873408.00,304925605888.0,19192199774208.0
160200141373,10083239985152.00,266566746112.0,10349806878720.0
133900072355,24906259496960.00,350403461120.0,25256662138880.0
200900156347,10421628043264.00,249089572864.0,10670717272064.0
281800180365,10395598192640.00,160650756096.0,10556249473024.0
958900051338,15564212797440.00,42877157376.0,15607090118656.0
297500032331,10874545766400.00,216448909312.0,11090994921472.0
127800154347,17536711131136.00,217089802240.0,17753800966144.0
21200167365,13084277080064.00,79533056000.0,13163810521088.0
935900169331,48532002177024.00,301204078592.0,48833207730176.0
649200093355,38383262892032.00,634414039040.0,39017676537856.0
98700079355,11671057727488.00,277566488576.0,11948624183296.0
1160200186338,30675426082816.00,268887228416.0,30944312426496.0
584500113365,15832243503104.00,269832732672.0,16102076710912.0
166100142365,15808823558144.00,357309448192.0,16166133170176.0
619900112347,12483159916544.00,113443561472.0,12596603256832.0
298700078365,18757162369024.00,286018240512.0,19043180347392.0
208700078347,97323522719744.00,851812548608.0,98175335530496.0
1159900069338,17078717251584.00,562109874176.0,17640827387904.0
552100170331,73368762056704.00,572779266048.0,73941544599552.0
705000093331,10687131680768.00,44701081600.0,10731832475648.0
302100165365,15447112024064.00,229488590848.0,15676600221696.0
88900034355,49276243673088.00,412416081920.0,49688661196800.0
82200099382,13341899620352.00,119223304192.0,13461122711552.0
993600100355,10536158756864.00,63519936512.0,10599678345216.0
523900057331,13854541086720.00,118669631488.0,13973210529792.0
255500024382,80402786025472.00,899222339584.0,81302011248640.0
471600124338,201260070338560.00,2043512094720.0,203303585579008.0
303500163347,18442291773440.00,161073709056.0,18603365629952.0
89300042373,56612152672256.00,1013488156672.0,57625639124992.0
189900177331,10944826572800.00,175463743488.0,11120290037760.0
99300128323,14224059269120.00,40559176.0,14224100163584.0
105600163355,17659015987200.00,431185264640.0,18090200924160.0
256500175338,48042782752768.00,707417866240.0,48750202454016.0
642200069338,128391663583232.00,2310852837376.0,130702515372032.0
223200057365,18655674892288.00,444179415040.0,19099853783040.0
798300145355,16256409272320.00,278901391360.0,16535310565376.0
2900175338,73535494029312.00,661512519680.0,74197002878976.0
99800176392,10249831448576.00,224680214528.0,10474511925248.0
40200183442,28101809537024.00,147114590208.0,28248924749824.0
63100083347,24318150967296.00,299751899136.0,24617903194112.0
106700112365,20198803374080.00,544372621312.0,20743175798784.0
166400128365,13401751289856.00,227828514816.0,13629579591680.0
188800055365,25660909158400.00,286967726080.0,25947877146624.0
251300043392,22985803038720.00,380527214592.0,23366331269120.0
399100187373,61668834934784.00,315229241344.0,61984066240512.0
23700163442,14593577451520.00,134684516352.0,14728261795840.0
504100058338,10780838723584.00,209398595584.0,10990237253632.0
115000165382,12641896497152.00,115854041088.0,12757750513664.0
5100069331,19235973627904.00,145155964928.0,19381130100736.0
181600164401,11512276058112.00,210403344384.0,11722679123968.0
82700077365,271420022063104.00,2876908503040.0,274296928731136.0
302800127331,10304493715456.00,116112531456.0,10420606730240.0
168100067373,17456042082304.00,85547982848.0,17541590155264.0
841100172338,14174616813568.00,109502513152.0,14284119605248.0
100700175347,17250464563200.00,269134135296.0,17519598370816.0
796700166338,14221456703488.00,166389776384.0,14387846840320.0
491600079338,11244168806400.00,87560339456.0,11331729096704.0
683700053355,22754204057600.00,685009403904.0,23439213592576.0
310300079347,35140870864896.00,454232342528.0,35595103502336.0
110400193338,18231509123072.00,301496139776.0,18533006180352.0
332200137365,19254189490176.00,146432704512.0,19400623128576.0
279400138382,16602507509760.00,222727159808.0,16825234489344.0
285000045338,20609958412288.00,217322733568.0,20827282079744.0
127000115382,10117079629824.00,256998637568.0,10374078267392.0
243200055365,11397745344512.00,377583009792.0,11775328124928.0
211300052338,16828902408192.00,121520807936.0,16950422929408.0
650000069373,15462725320704.00,139741429760.0,15602466947072.0
54600068331,26792882601984.00,173835239424.0,26966717628416.0
852800190338,44475107770368.00,467538182144.0,44942646837248.0
92300078331,18031136735232.00,346593918976.0,18377730949120.0
246900095355,18616640602112.00,136143134720.0,18752783515648.0
6200066421,28122627964928.00,143501885440.0,28266129784832.0
224700107411,13274241302528.00,84902928384.0,13359144501248.0
